company_name,sector,location,priority_score,pipeline_stage,phone,email,website,email_subject,email_body,whatsapp_message,linkedin_dm
Palm oil sector - multiple companies,Plantation,Various,100.0,not_contacted,,,,Documented Bangladesh worker channel for Palm oil sector - multiple companies,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If Palm oil sector - multiple companies is planning 2026-2027 hiring and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for Palm oil sector - multiple companies's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about Palm oil sector - multiple companies's current hiring needs?"
WRP Asia Pacific Sdn Bhd,Manufacturing,Selangor,100.0,not_contacted,,,,Documented Bangladesh worker channel for WRP Asia Pacific Sdn Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If WRP Asia Pacific Sdn Bhd is planning 2026-2027 hiring and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain. We're preparing documented Bangladeshi worker channels for manufacturing employers ahead of the corridor reopening — happy to share details if useful for WRP Asia Pacific Sdn Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi manufacturing workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about WRP Asia Pacific Sdn Bhd's current hiring needs?"
Boustead Plantations Bhd,Plantation,"KL, Kuala Lumpur",95.0,not_contacted,,,https://www.bousteadplantations.com,Documented Bangladesh worker channel for Boustead Plantations Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If Boustead Plantations Bhd is planning 2026-2027 hiring (~6,000 employees) and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for Boustead Plantations Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about Boustead Plantations Bhd's current hiring needs?"
IJM Plantations Bhd,Plantation,"Petaling Jaya, Selangor",95.0,not_contacted,,,https://www.ijmplantations.com.my,Documented Bangladesh worker channel for IJM Plantations Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If IJM Plantations Bhd is planning 2026-2027 hiring (~3,000 employees) and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for IJM Plantations Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about IJM Plantations Bhd's current hiring needs?"
Kulim (M) Bhd,Plantation,"Johor Bahru, Johor",95.0,not_contacted,062316894531,info@kulim.com.my,https://www.kulim.com.my,Documented Bangladesh worker channel for Kulim (M) Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If Kulim (M) Bhd is planning 2026-2027 hiring (~4,000 employees) and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for Kulim (M) Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about Kulim (M) Bhd's current hiring needs?"
TH Plantations Bhd,Plantation,"KL, Kuala Lumpur",95.0,not_contacted,,,https://www.thplantations.com.my,Documented Bangladesh worker channel for TH Plantations Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If TH Plantations Bhd is planning 2026-2027 hiring (~3,000 employees) and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for TH Plantations Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about TH Plantations Bhd's current hiring needs?"
AEON (M) Bhd,Retail,KL,85.0,not_contacted,,,,Documented Bangladesh worker channel for AEON (M) Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

Direct-source front-line workers from Bangladesh. Lower cost, fully documented, no agent markups.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If AEON (M) Bhd is planning 2026-2027 hiring (~6,000 employees) and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. Direct-source front-line workers from Bangladesh. Lower cost, fully documented, no agent markups. We're preparing documented Bangladeshi worker channels for retail employers ahead of the corridor reopening — happy to share details if useful for AEON (M) Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi retail workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about AEON (M) Bhd's current hiring needs?"
AIC Semiconductor Sdn Bhd,E&E,"Bayan Lepas, Penang",85.0,not_contacted,0260617113147,,https://www.aicsemi.com,Documented Bangladesh worker channel for AIC Semiconductor Sdn Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If AIC Semiconductor Sdn Bhd is planning 2026-2027 hiring and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain. We're preparing documented Bangladeshi worker channels for e&e employers ahead of the corridor reopening — happy to share details if useful for AIC Semiconductor Sdn Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi e&e workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about AIC Semiconductor Sdn Bhd's current hiring needs?"
Able Global Bhd,Plantation,Perak,85.0,not_contacted,,,,Documented Bangladesh worker channel for Able Global Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If Able Global Bhd is planning 2026-2027 hiring and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. I see your plantation sector faces CBP scrutiny on worker fees. We offer a documented, zero-fee channel from Bangladesh. We're preparing documented Bangladeshi worker channels for plantation employers ahead of the corridor reopening — happy to share details if useful for Able Global Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi plantation workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about Able Global Bhd's current hiring needs?"
Acutronic Malaysia Sdn Bhd,E&E,"Bayan Lepas, Penang",85.0,not_contacted,011-2020,aus@acutronic.com,https://www.acutronic.com,Documented Bangladesh worker channel for Acutronic Malaysia Sdn Bhd,"Hello,

I'm reaching out because the Malaysia-Bangladesh labour corridor is reopening, and we're building a direct-source channel for documented, pre-screened Bangladeshi workers.

We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain.

Our model:
- RBA-aligned: zero worker-paid recruitment fees available on the employer-pays track
- FWCMS-compatible processing, TURAP-ready if/when adopted
- Complete documentation: BMET clearance, FOMEMA medical, PDOT trained

If Acutronic Malaysia Sdn Bhd is planning 2026-2027 hiring and wants a compliance-safe alternative to the current agency channel, I'd welcome a brief call.

Malaysia Corridor Ops | wa.me/880XXXXXXXXXX

This is an information & registration service; the corridor is currently closed pending the labour MoU. No fees are collected through this outreach.","Hello, I'm reaching out on behalf of Malaysia Corridor Ops. We pre-screen and document Bangladeshi workers per RBA standards. No middleman fees, fully auditable chain. We're preparing documented Bangladeshi worker channels for e&e employers ahead of the corridor reopening — happy to share details if useful for Acutronic Malaysia Sdn Bhd's 2026-2027 hiring plans. Malaysia Corridor Ops | wa.me/880XXXXXXXXXX","Hi, I'm building a direct-source channel for Bangladeshi e&e workers — RBA-aligned, fully documented, no middlemen fees. Given the corridor reopening, would you be open to a 5-min chat about Acutronic Malaysia Sdn Bhd's current hiring needs?"
